Assignment,BIEN_Number,Family,Latin,TotalObsInBIEN,nameSubmitted,nameMatched,nameMatchedScore,nameMatchedAuthor,nameMatchedUrl,,,acceptance,genusMatched,genusMatchedScore,speciesMatched,Recent Name,Old name,Invasive,Non-native,NotRare(largeRangeOrHighAbundance),RecognizedAsRare,Unresolved,Comments
d,2232,Ericaceae,Agarista uleana,3,Ericaceae Agarista uleana,Agarista uleana,1,(Sleumer) Judd,http://www.tropicos.org/Name/50065745 ,,,Accepted,Agarista,1,uleana,,,,,,Y,,
d,17517,Ericaceae,Cavendishia glandulosa,1,Ericaceae Cavendishia glandulosa,Cavendishia glandulosa,1,A.C. Sm.,http://www.tropicos.org/Name/50100735 ,,,Accepted,Cavendishia,1,glandulosa,,,,,,Y,,
d,38904,Ericaceae,Gaylussacia jordanensis,2,Ericaceae Gaylussacia jordanensis,Gaylussacia jordanensis,1,Sleumer,http://www.tropicos.org/Name/50172927 ,,,Accepted,Gaylussacia,1,jordanensis,,,,,,Y,,
d,1577,Fabaceae,Adesmia trifoliolata,1,Fabaceae Adesmia trifoliolata,Adesmia trifoliolata,1,Gillies ex Hook. & Arn.,http://www.tropicos.org/Name/13007500 ,,,Accepted,Adesmia,1,trifoliolata,,,,,,Y,,
d,2093,Fabaceae,Aeschynomene pluriarticulata,2,Fabaceae Aeschynomene pluriarticulata,Aeschynomene pluriarticulata,1,G. Don,http://www.tropicos.org/Name/13024945 ,,,Accepted,Aeschynomene,1,pluriarticulata,,,,,,Y,,
d,14036,Fabaceae,Caesalpinia standleyi,1,Fabaceae Caesalpinia standleyi,Caesalpinia standleyi,1,(Britton & Rose) Standl.,http://www.tropicos.org/Name/13003321 ,,,Accepted,Caesalpinia,1,standleyi,,,,,,Y,,
d,18750,Fabaceae,Chamaecrista fodinarum,3,Fabaceae Chamaecrista fodinarum,Chamaecrista fodinarum,1,H.S. Irwin & Barneby,http://www.tropicos.org/Name/13045767 ,,,Accepted,Chamaecrista,1,fodinarum,,,,,,Y,,
d,26925,Fabaceae,Dalea lamprostachya,1,Fabaceae Dalea lamprostachya,Dalea lamprostachya,1,Barneby,http://www.tropicos.org/Name/13040963 ,,,Accepted,Dalea,1,lamprostachya,,,,,,Y,,
d,44722,Fabaceae,Hymenolobium flavum,3,Fabaceae Hymenolobium flavum,Hymenolobium flavum,1,Kleinhoonte,http://www.tropicos.org/Name/13005974 ,,,Accepted,Hymenolobium,1,flavum,,,,,,Y,,
d,51733,Fabaceae,Lonchocarpus salvinii,2,Fabaceae Lonchocarpus salvinii,Lonchocarpus salvinii,1,Harms,http://www.tropicos.org/Name/13009912 ,,,No opinion,Lonchocarpus,1,salvinii,,,,,,Y,,synonym of Willardia schediana
d,53081,Fabaceae,Machaerium floridum,3,Fabaceae Machaerium floridum,Machaerium floridum,1,(Mart. ex Benth.) Ducke,http://www.tropicos.org/Name/13014804 ,,,Accepted,Machaerium,1,floridum,,,,,,Y,,
d,58393,Fabaceae,Mimosa corynadenia,1,Fabaceae Mimosa corynadenia,Mimosa corynadenia,1,Britton & Rose,http://www.tropicos.org/Name/13016232 ,,,Accepted,Mimosa,1,corynadenia,,,,,,Y,,
d,69299,Fabaceae,Phaseolus amblyosepalus,3,Fabaceae Phaseolus amblyosepalus,Phaseolus amblyosepalus,1,(Piper) C.V. Morton,http://www.tropicos.org/Name/13012117 ,,,Accepted,Phaseolus,1,amblyosepalus,,,,,,Y,,
d,85060,Fabaceae,Senna kurtzii,3,Fabaceae Senna kurtzii,Senna kurtzii,1,(Harms) H.S. Irwin & Barneby,http://www.tropicos.org/Name/13041355 ,,,Accepted,Senna,1,kurtzii,,,,,,Y,,
d,94982,Fabaceae,Trifolium haydenii,3,Fabaceae Trifolium haydenii,Trifolium haydenii,1,Porter,http://www.tropicos.org/Name/13033914 ,,,Accepted,Trifolium,1,haydenii,,,,,,Y,,
d,99376,Fabaceae,Zollernia parvifolia,2,Fabaceae Zollernia parvifolia,Zollernia parvifolia,1,Taub. ex Glaz.,http://www.tropicos.org/Name/50193226 ,,,No opinion,Zollernia,1,parvifolia,,,,,,Y,,
d,83140,Grimmiaceae,Schistidium amblyophyllum,2,Grimmiaceae Schistidium amblyophyllum,Schistidium amblyophyllum,1,(MŸll. Hal.) Ochyra & Hertel,http://www.tropicos.org/Name/35186333 ,,,Accepted,Schistidium,1,amblyophyllum,,,,,,Y,,
d,83164,Grimmiaceae,Schistidium malacophyllum,1,Grimmiaceae Schistidium malacophyllum,Schistidium malacophyllum,1,Herzog,http://www.tropicos.org/Name/35149271 ,,,Accepted,Schistidium,1,malacophyllum,,,,,,Y,,
d,63031,Lejeuneaceae,Omphalanthus paramicola,1,Lejeuneaceae Omphalanthus paramicola,Omphalanthus paramicola,1,(Herzog) Gradst.,http://www.tropicos.org/Name/35203388 ,,,Accepted,Omphalanthus,1,paramicola,,,,,,Y,,
d,54414,Marantaceae,Maranta cordata,3,Marantaceae Maranta cordata,Maranta cordata,1,Kšrn.,http://www.tropicos.org/Name/19700151 ,,,Accepted,Maranta,1,cordata,,,,,,Y,,
d,18625,Melastomataceae,Chaetolepis santamartensis,1,Melastomataceae Chaetolepis santamartensis,Chaetolepis santamartensis,1,Wurdack,http://www.tropicos.org/Name/50173387 ,,,Accepted,Chaetolepis,1,santamartensis,,,,,,Y,,
d,21167,Melastomataceae,Clidemia anisophylla,1,Melastomataceae Clidemia anisophylla,Clidemia anisophylla,1,DC.,http://www.tropicos.org/Name/50162417 ,,,Accepted,Clidemia,1,anisophylla,,,,,,Y,,
d,21220,Melastomataceae,Clidemia flexuosa,1,Melastomataceae Clidemia flexuosa,Clidemia flexuosa,1,(Triana) Cogn.,http://www.tropicos.org/Name/20300499 ,,,Accepted,Clidemia,1,flexuosa,,,,,,Y,,
